id,anio,sector_id,actividad,subactividad,categoria,id_ipcc,gas_id,valor_tco2e,tipo_de_registro
76,1999,2,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,4,"0,02",Emisión
77,2000,2,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,4,"0,02",Emisión
78,2001,2,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,4,"0,01",Emisión
79,2002,2,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,4,"0,01",Emisión
80,2003,2,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,4,"0,01",Emisión
81,2004,2,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,4,"0,02",Emisión
82,2005,2,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,4,"0,02",Emisión
83,2006,2,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,4,"0,03",Emisión
84,2007,2,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,4,"0,03",Emisión
85,2008,2,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,4,"0,28",Emisión
86,2009,2,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,4,"0,27",Emisión
87,2010,2,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,4,"0,27",Emisión
88,2011,2,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,4,"0,31",Emisión
89,2012,2,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,4,"0,33",Emisión
90,2013,2,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,4,"0,31",Emisión
91,2014,2,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,4,"0,33",Emisión
92,2015,2,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,4,"0,33",Emisión
93,2016,2,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,4,"0,34",Emisión
94,2017,2,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,4,"0,38",Emisión
95,2018,2,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,4,"0,4",Emisión
96,2019,2,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,4,"0,39",Emisión
97,2020,2,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,4,"0,4",Emisión
98,2021,2,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,4,"0,42",Emisión
99,2022,2,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,4,"0,36",Emisión
100,1990,2,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,2,"4,06",Emisión
101,1991,2,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,2,"4,25",Emisión
102,1992,2,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,2,"5,0",Emisión
103,1993,2,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,2,"5,04",Emisión
104,1994,2,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,2,"3,63",Emisión
105,1995,2,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,2,"4,36",Emisión
106,1996,2,Actividades de quema de combustible,Industrias de la energía,Refinación del petróleo,1A1b,2,"4,19",Emisión
